id,name,type,brand
1,Fluoxetine,Drinks,29-485-7137
2,Gambil Oak,Drinks,39-163-1151
3,FEMCON Fe,Drinks,22-501-0288
4,PHOMA EXIGUA VAR EXIGUA,Drinks,64-520-6914
5,Alcohol Prep Pad with Benzocaine,Snacks,24-952-8394
6,fiber laxative,Snacks,6
7,Antiseptic,Snacks,7
8,DILT-CD,Snacks,8
9,Bio Vervain,Snacks,9
10,Avar-e,Snacks,10
11,AMOREPACIFIC,s,11
12,Montelukast Sodium,12,12
13,puristics totallyageless spf 15 daily anti-aging,13,13
14,meloxicam,14,14
15,Echinacea Thuja Special Order,15,15
16,dg health pain relief pm,16,16
17,Rhus tox. 1 Special Order,17,17
18,enfuselle Acne Clarifying,18,18
19,Nabumetone,19,19
20,Loperamide Hydrochloride,20,20
21,Isovue-M,21,21
22,Gentamicin,22,22
23,Sunscreen,23,23
24,Amlodipine Besylate and Benazepril Hydrochloride,24,24
25,Eye Wash,25,25
26,Preferred Plus Severe Day Time,26,26
27,Diltiazem Hydrochloride,27,27
28,Saccharomyces cerevisiae,28,28
29,Quinine Sulfate,29,29
30,Diethylpropion HCl Controlled-Release,30,30
31,Medulla Arnica,31,31
32,enema,32,32
33,Kalium aceticum comp. 6,33,33
34,Burn Out SPF-30 Sunscreen,34,34
35,Meclizine Hydrochloride,35,35
36,Kit for the Preparation of Technetium Tc99m Sestamibi,36,36
37,Terazol 3,37,37
38,Nazil,38,38
39,Freshscent Anti-Perspirant Deodorant,39,39
40,Ohm 8 Hour Pain Reliever/Fever Reducer,40,40
41,Treatment Set TS350566,41,41
42,Heparin Sodium,42,42
43,LANEIGE SKIN VEIL,43,43
44,JUNIPERUS ASHEI POLLEN,44,44
45,LBEL,45,45
46,CAREONE,46,46
47,Hemorrhoidal,47,47
48,Tussin Long Acting Cough,48,48
49,KALI SULPHURICUM,49,49
50,Colic,50,50
51,Luzu,51,51
52,Prednisone,52,52
53,Oxygen,53,53
54,Advanced Protection,54,54
55,Metoprolol,55,55
56,Orange Pekoe Tea,56,56
57,Revlimid,57,57
58,CAREALL Musle and Joint,58,58
59,Strep Throat,59,59
60,Amlodipine Besylate,60,60
61,FEMALE LIBIDO,61,61
62,TOURMANIUM BB,62,62
63,docetaxel,63,63
64,Treatment Set TS348405,64,64
65,Pleo Not,65,65
66,Coconut Lime Anti-Bacterial Hand Sanitizer,66,66
67,SohMed Allergy Sinus,67,67
68,Nevirapine,68,68
69,IOPE RETIGEN MOISTURE FOUNDATION,69,69
70,temazepam,70,70
71,BACTIMICINA COUGH AND COLD,71,71
72,divalproex sodium,72,72
73,Mycophenolate Mofetil,73,73
74,MAT LUMIERE,74,74
75,CeraVe,75,75
76,Simethicone,76,76
77,Adrenapar,77,77
78,Tri-Med Medical,78,78
79,Nivea For Men Sensitive,79,79
80,Vytorin,80,80
81,Hydrochlorothiazide,81,81
82,White Fish,82,82
83,Felodipine,83,83
"84,""Pollens - Weeds and Garden Plants, Pigweed, Rough Redroot Amaranthus retroflexus"",84,84"
85,DG HEALTH EXTRA STRENGTH MEDICATED,85,85
86,healthy accents arthritis pain relief,86,86
87,Shrimp,87,87
88,Sensorcaine,88,88
89,Azithromycin,89,89
90,Rivastigmine Tartrate,90,90
91,TERSI,91,91
92,Furosemide,92,92
93,Dove,93,93
94,Supress DM,94,94
95,Ondansetron Hydrochloride,95,95
96,Flumazenil,96,96
97,Etodolac,97,97
98,TOY CLEANER MIST,98,98
99,OXYCODONE HYDROCHLORIDE,99,99
100,SHISEIDO SHEER MATIFYING COMPACT (REFILL),100,100
101,Tyramine,101,101
102,Metronidazole,102,102
103,Antacid Antigas Maximum Strength,103,103
"104,""Insects (whole body), Fire Ant Mix"",104,104"
105,ATORVASTATIN CALCIUM,105,105
106,Certus BZK Antiseptic Towelette,106,106
107,Ibuprofen,107,107
108,Clarins UV Plus HP SPF 40 Day Screen High Protection,108,108
109,Acetaminophen PM,109,109
110,Gas Relief,110,110
111,Goldenrod,111,111
112,leader tussin cf,112,112
113,SHISEIDO SHEER MATIFYING COMPACT (REFILL),113,113
114,Glycopyrrolate,114,114
115,Arnica Aurum Equisetum,115,115
116,Whole Wheat Grain,116,116
117,Metoprolol Tartrate,117,117
118,Equaline Moisturizing Dandruff,118,118
119,Synthroid,119,119
120,Diazepam,120,120
121,Speed Stick,121,121
122,Botanics Mattifying Day All Bright Sunscreen Broad Spectrum SPF 15,122,122
123,Secret Scent Expressions,123,123
124,Apiol,124,124
125,APRIL Bath and Shower Cucumber Melon Scented Antibacterial HAND SANITIZER,125,125
126,Neuralgo Rheum,126,126
127,Bryophyllum e fol. 10,127,127
128,Stachybotrys,128,128
"129,""Isometheptene Mucate, Caffeine, and Acetaminophen"",129,129"
130,Lidocaine Hydrochloride,130,130
131,Sucralfate,131,131
132,MAMONDE BRIGHTENING PACT 10HR N23,132,132
133,Soothe,133,133
134,Gemcitabine Hydrochloride,134,134
135,Lym D,135,135
136,Nexavar,136,136
137,rexall ibuprofen,137,137
138,CC SPF 18,138,138
139,Vitamin H Velvet Mask,139,139
140,Pomegranate Antibacterial Foaming Hand Wash,140,140
141,Simvastatin,141,141
142,Permethrin,142,142
143,Amitriptyline Hydrochloride,143,143
144,Amitriptyline Hydrochloride,144,144
145,Allergies Total Mold Control,145,145
146,Nefazodone Hydrochloride,146,146
147,Avon Sun Sport,147,147
148,Signature Body,148,148
149,Childrens Mucus Relief,149,149
150,Cilostazol,150,150
151,InstantFOAM non-alcohol hand sanitizer,151,151
152,Ropinirole,152,152
