id,name,type,brand
1,Fluoxetine,Drinks,29-485-7137
2,Gambil Oak,Drinks,39-163-1151
3,FEMCON Fe,Drinks,22-501-0288
4,PHOMA EXIGUA VAR EXIGUA,Drinks,64-520-6914
5,Alcohol Prep Pad with Benzocaine,Snacks,24-952-8394
6,fiber laxative,Snacks,24-952-8394
7,Antiseptic,Snacks,42-654-5235
8,DILT-CD,Snacks,57-684-0189
9,Bio Vervain,Snacks,80-339-9359
10,Avar-e,Snacks,70-357-4296
11,AMOREPACIFIC,Snacks,29-385-7476
12,Montelukast Sodium,Snacks,03-911-2805
13,puristics totallyageless spf 15 daily anti-aging,Snacks,28-881-4827
14,meloxicam,Snacks,72-053-9888
15,Echinacea Thuja Special Order,Snacks,40-616-2198
16,dg health pain relief pm,Snacks,88-031-5646
17,Rhus tox. 1 Special Order,Snacks,01-766-7118
18,enfuselle Acne Clarifying,Snacks,69-779-8594
19,Nabumetone,Snacks,29-253-5917
20,Loperamide Hydrochloride,Snacks,92-366-6033
21,Isovue-M,Snacks,49-113-3220
22,Gentamicin,Snacks,02-641-3488
23,Sunscreen,Snacks,16-247-5301
24,Amlodipine Besylate and Benazepril Hydrochloride,Snacks,14-977-8332
25,Eye Wash,Drinks,70-748-6407
26,Preferred Plus Severe Day Time,Drinks,38-996-9514
27,Diltiazem Hydrochloride,Drinks,82-096-9170
28,Saccharomyces cerevisiae,Drinks,97-830-2379
29,Quinine Sulfate,Drinks,64-732-6354
30,Diethylpropion HCl Controlled-Release,Drinks,29-093-3932
31,Medulla Arnica,Drinks,35-287-2589
32,enema,Drinks,08-202-0547
33,Kalium aceticum comp. 6,Drinks,76-893-0888
34,Burn Out SPF-30 Sunscreen,Drinks,02-836-2294
35,Meclizine Hydrochloride,Drinks,46-130-7552
36,Kit for the Preparation of Technetium Tc99m Sestamibi,Drinks,67-916-3337
37,Terazol 3,Drinks,43-954-7391
38,Nazil,Drinks,44-892-3157
39,Freshscent Anti-Perspirant Deodorant,Drinks,81-080-3713
40,Ohm 8 Hour Pain Reliever/Fever Reducer,Drinks,31-136-2753
41,Treatment Set TS350566,Snacks,63-307-9565
42,Heparin Sodium,Snacks,02-163-6422
43,LANEIGE SKIN VEIL,Snacks,98-578-4730
44,JUNIPERUS ASHEI POLLEN,Snacks,44-812-7614
45,LBEL,Snacks,29-617-4429
46,CAREONE,Snacks,50-314-1558
47,Hemorrhoidal,Snacks,23-704-6263
48,Tussin Long Acting Cough,Snacks,46-881-7748
49,KALI SULPHURICUM,Snacks,62-185-7130
50,Colic,Snacks,42-369-9455
51,Luzu,Snacks,17-755-0338
52,Prednisone,Snacks,46-797-6446
53,Oxygen,Snacks,28-374-6155
54,Advanced Protection,Snacks,64-973-2813
55,Metoprolol,Snacks,87-697-0480
56,Orange Pekoe Tea,Snacks,22-941-6756
57,Revlimid,Snacks,80-098-2373
58,CAREALL Musle and Joint,Snacks,07-114-5983
59,Strep Throat,Snacks,73-006-4033
60,Amlodipine Besylate,Snacks,72-118-1336
61,FEMALE LIBIDO,Snacks,19-522-0741
62,TOURMANIUM BB,Masks,48-938-5972
63,docetaxel,Masks,30-751-4888
64,Treatment Set TS348405,Masks,57-859-1829
65,Pleo Not,Masks,59-352-3554
66,Coconut Lime Anti-Bacterial Hand Sanitizer,Masks,04-767-8487
67,SohMed Allergy Sinus,Masks,54-092-8228
68,Nevirapine,Masks,62-849-5735
69,IOPE RETIGEN MOISTURE FOUNDATION,Masks,05-059-7826
70,temazepam,Masks,49-055-4499
71,BACTIMICINA COUGH AND COLD,Masks,93-378-3425
72,divalproex sodium,Masks,83-506-1514
73,Mycophenolate Mofetil,Masks,64-211-0957
74,MAT LUMIERE,Masks,15-735-2123
75,CeraVe,Masks,43-616-6644
76,Simethicone,Masks,43-815-3235
77,Adrenapar,Snacks,56-198-5506
78,Tri-Med Medical,Clothes,12-388-0143
79,Nivea For Men Sensitive,Clothes,38-514-9314
80,Vytorin,Clothes,73-546-2426
81,Hydrochlorothiazide,Clothes,46-377-2955
82,White Fish,Clothes,77-845-9429
83,Felodipine,Clothes,05-157-4971
"84,""Pollens - Weeds and Garden Plants, Pigweed, Rough Redroot Amaranthus retroflexus"",84,84",,Clothes,18-093-7245
85,DG HEALTH EXTRA STRENGTH MEDICATED,Clothes,34-326-2901
86,healthy accents arthritis pain relief,Clothes,27-496-9242
87,Shrimp,Clothes,45-487-0244
88,Sensorcaine,Clothes,76-481-5682
89,Azithromycin,Clothes,09-038-1563
90,Rivastigmine Tartrate,Clothes,00-292-1996
91,TERSI,Clothes,70-764-8179
92,Furosemide,Clothes,39-116-4586
93,Dove,Clothes,87-723-5482
94,Supress DM,Clothes,60-348-9906
95,Ondansetron Hydrochloride,Clothes,65-366-3834
96,Flumazenil,Clothes,40-280-7901
97,Etodolac,Clothes,75-137-4723
98,TOY CLEANER MIST,Clothes,13-357-8219
99,OXYCODONE HYDROCHLORIDE,Clothes,95-864-2326
100,SHISEIDO SHEER MATIFYING COMPACT (REFILL),Clothes,43-078-4794
101,Tyramine,Clothes,11-578-4414
102,Metronidazole,Clothes,49-974-7618
103,Antacid Antigas Maximum Strength,Clothes,54-056-2633
"104,""Insects (whole body), Fire Ant Mix"",104,104",,Clothes,16-761-2710
105,ATORVASTATIN CALCIUM,Clothes,76-775-3247
106,Certus BZK Antiseptic Towelette,Clothes,07-113-6681
107,Ibuprofen,Clothes,43-220-5812
108,Clarins UV Plus HP SPF 40 Day Screen High Protection,Clothes,63-464-8748
